"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 08 17:09:08 BDT 2023","Sat Jul 08 17:09:29 BDT 2023","20851","","","","","","Login Test with zara coat 3",""
"passed","Sat Jul 08 17:08:49 BDT 2023","Sat Jul 08 17:09:08 BDT 2023","19019","","","","","","Login Test with iphone 13 pro",""
"passed","Sat Jul 08 17:04:45 BDT 2023","Sat Jul 08 17:05:05 BDT 2023","20104","","","","","","Login",""
